Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-06-22,35.009961948905776,35.298566121286896,34.876759588895844,35.1801643371582,10268800,0.0,0.0
2006-06-23,35.076543540981845,35.32074584934842,34.869338417276076,35.08394241333008,12398500,0.0,0.0
2006-06-26,35.0395584838769,35.17276083706747,34.89895725458512,35.1209602355957,8859800,0.0,0.0
2006-06-27,35.12095761640505,35.298561681721104,34.99515697161852,35.00255584716797,10128700,0.0,0.0
2006-06-28,35.07655940293024,35.38736299465775,35.07655940293024,35.26156234741211,12517900,0.0,0.0
2006-06-29,35.305962845985796,36.0385757813901,35.20236164405249,35.96457290649414,16028900,0.0,0.0
2006-06-30,36.11257903847467,36.11998073808171,35.52796897805519,35.59457015991211,14414500,0.0,0.0
2006-07-03,35.661174239501385,36.28278437970259,35.65377536221442,36.1199836730957,6660400,0.0,0.0
2006-07-05,35.89059066299159,36.33459684099365,35.75738824500649,36.16439437866211,12059500,0.0,0.0
2006-07-06,36.164380977879986,36.489988022488106,36.105181493446665,36.30498504638672,7653500,0.0,0.0
2006-07-07,36.18657458276777,36.4233781095957,36.0015716510009,36.112571716308594,7583700,0.0,0.0
2006-07-10,36.34937331665274,36.4603761989981,36.290173849543635,36.364173889160156,7321900,0.0,0.0
2006-07-11,36.2383910801833,36.43819467292104,36.008986327872115,36.3715934753418,11447500,0.0,0.0
2006-07-12,36.39379058665839,36.41599004344593,35.8905821980479,35.9423828125,7977600,0.0,0.0
2006-07-13,35.942374921739365,36.09037785464796,35.446568342854874,35.505767822265625,12113600,0.0,0.0
2006-07-14,35.52056481838496,35.8905707019098,35.21716010681142,35.749969482421875,10613100,0.0,0.0
2006-07-17,35.60195932397884,35.860962260603884,35.42435529392146,35.6833610534668,10434700,0.0,0.0
2006-07-18,35.638966129295184,35.949772535372844,35.36516256943025,35.846168518066406,9437000,0.0,0.0
2006-07-19,36.245787611587,36.98579961547302,36.14958526066372,36.963600158691406,24176600,0.0,0.0
2006-07-20,36.874794776666526,37.05239605397221,36.704589553443256,36.74159240722656,15785300,0.0,0.0
2006-07-21,36.889590521711376,37.19299527493015,36.83039104014055,37.10419464111328,19627600,0.0,0.0
2006-07-24,37.111597786295825,37.51860376530916,37.10419608648536,37.422401428222656,13098200,0.0,0.0
2006-07-25,37.42979610837819,37.80720086321318,37.407593836032014,37.599998474121094,15198200,0.0,0.0
2006-07-26,37.46679160593774,37.88859803159228,37.43719046166573,37.73319625854492,14242200,0.0,0.0
2006-07-27,37.955208966923415,38.07361075157544,37.72580427413208,37.75540542602539,13054100,0.0,0.0
2006-07-28,37.85900561570104,38.406615619302706,37.85900561570104,38.22901153564453,12051700,0.0,0.0
2006-07-31,38.21420661540561,38.2216083137988,37.888602459125885,38.13280487060547,10928400,0.0,0.0
2006-08-01,37.99220365326394,38.169807716729764,37.799801838853384,38.13280487060547,11102900,0.0,0.0
2006-08-02,38.22901627222132,38.45842098726115,38.12541505346833,38.451019287109375,9711300,0.0,0.0
2006-08-03,38.38439787839475,38.7322042063357,38.30299615713878,38.45840072631836,11329500,0.0,0.0
2006-08-04,38.85063250918276,39.03563552113125,38.57682884191714,38.717430114746094,19869100,0.0,0.0
2006-08-07,38.628619248512216,38.74702103194457,38.55461636954125,38.59901809692383,9614800,0.0,0.0
2006-08-08,38.73962190532999,38.983827187770345,38.443618838551785,38.525020599365234,12969100,0.0,0.0
2006-08-09,38.66560916880309,38.90241267376404,37.99959754677514,38.140201568603516,12412600,0.0,0.0
2006-08-10,37.970002573376505,38.22160667244462,37.79239851753755,38.125404357910156,10816200,0.0,0.0
2006-08-11,37.98481285626966,38.11801240354642,37.51860456057603,38.03661346435547,11741200,0.0,0.0
2006-08-14,38.18461090613025,38.391816146838465,37.75540549458275,37.83680725097656,8245700,0.0,0.0
2006-08-15,38.33260417500339,38.62860997397536,38.20680354533863,38.591609954833984,12396900,0.0,0.0
2006-08-16,38.835816170953166,38.835816170953166,38.40661082531199,38.702613830566406,9384100,0.0,0.0
2006-08-17,38.53242027789363,38.77662556541426,38.42881906121994,38.58422088623047,9622900,0.0,0.0
2006-08-18,38.65082649994395,38.85063007910137,38.52502581469026,38.843231201171875,8985600,0.0,0.0
2006-08-21,38.7470257832647,38.969028801558146,38.7470257832647,38.82102584838867,7274400,0.0,0.0
2006-08-22,38.828428443705306,39.00602973326542,38.72482722097498,38.85062789916992,7504200,0.0,0.0
2006-08-23,38.843231201171875,38.96163300849608,38.710028815066934,38.843231201171875,7575900,0.0,0.0
2006-08-24,38.84321921648015,39.00601988699429,38.76181746976264,38.85801696777344,9418600,0.0,0.0
2006-08-25,38.62121164181094,38.687812811237166,38.37700923586193,38.576812744140625,11392400,0.0,0.0
